TP_FUNDO_CLASSE;CNPJ_FUNDO_CLASSE;DENOM_SOCIAL;DT_COMPTC;ID_DOC;VL_PATRIM_LIQ;TP_APLIC;TP_ATIVO;EMISSOR_LIGADO;TP_NEGOC;QT_VENDA_NEGOC;VL_VENDA_NEGOC;QT_AQUIS_NEGOC;VL_AQUIS_NEGOC;QT_POS_FINAL;VL_MERC_POS_FINAL;VL_CUSTO_POS_FINAL;DT_CONFID_APLIC;CD_ATIVO;DS_ATIVO;DT_VENC;PF_PJ_EMISSOR;CPF_CNPJ_EMISSOR;EMISSOR;RISCO_EMISSOR;CD_SELIC;DT_INI_VIGENCIA;CD_PAIS;PAIS;CD_BV_MERC;BV_MERC
CLASSES FIIM;10.406.511/0001-61;ISHARES IBOVESPA CLASSE DE ÍNDICE - RESPONSABILIDADE LIMITADA;2025-04-30;897435;9498172265.94;AÇÕES;Ação ordinária;N;Para negociação;1866875.00;25082122.25;1282350.00;17200742.50;2071819.00;28052429.26;;;STBP3;;;;;;;;2007-11-21;;;;
CLASSES FIIM;10.406.511/0001-61;ISHARES IBOVESPA CLASSE DE ÍNDICE - RESPONSABILIDADE LIMITADA;2025-04-30;897435;9498172265.94;AÇÕES;Ação ordinária;N;Para negociação;409168.00;15715312.74;281054.00;10802192.38;545009.00;20813893.71;;;CPFE3;;;;;;;;2004-09-29;;;;
CLASSES FIIM;10.406.511/0001-61;ISHARES IBOVESPA CLASSE DE ÍNDICE - RESPONSABILIDADE LIMITADA;2025-04-30;897435;9498172265.94;AÇÕES;Ação ordinária;N;Para negociação;1178125.00;42942510.00;809250.00;28981972.50;1039178.00;39093876.36;;;TOTS3;;;;;;;;2006-03-09;;;;
CLASSES FIIM;10.406.511/0001-61;ISHARES IBOVESPA CLASSE DE ÍNDICE - RESPONSABILIDADE LIMITADA;2025-04-30;897435;9498172265.94;AÇÕES;Ação ordinária;N;Para negociação;2107575.00;84594950.01;1447686.00;57101299.83;2359478.00;101363174.88;;;RENT3;;;;;;;;2005-05-23;;;;
CLASSES FIIM;10.406.511/0001-61;ISHARES IBOVESPA CLASSE DE ÍNDICE - RESPONSABILIDADE LIMITADA;2025-04-30;897435;9498172265.94;AÇÕES;Ação ordinária;N;Para negociação;685125.00;16711578.45;470610.00;11335917.60;1057922.00;27230912.28;;;MULT3;;;;;;;;2007-07-27;;;;
CLASSES FIIM;10.406.511/0001-61;ISHARES IBOVESPA CLASSE DE ÍNDICE - RESPONSABILIDADE LIMITADA;2025-04-30;897435;9498172265.94;AÇÕES;Ação ordinária;N;Para negociação;566950.00;4186264.96;389436.00;2656274.14;703120.00;4155439.20;;;BEEF3;;;;;;;;2007-07-20;;;;
CLASSES FIIM;10.406.511/0001-61;ISHARES IBOVESPA CLASSE DE ÍNDICE - RESPONSABILIDADE LIMITADA;2025-04-30;897435;9498172265.94;AÇÕES;Ação ordinária;N;Para negociação;1163625.00;9840206.85;799290.00;6682866.90;2103159.00;17982009.45;;;CRFB3;;;;;;;;2017-07-20;;;;
CLASSES FIIM;10.406.511/0001-61;ISHARES IBOVESPA CLASSE DE ÍNDICE - RESPONSABILIDADE LIMITADA;2025-04-30;897435;9498172265.94;AÇÕES;Ação ordinária;N;Para negociação;2293175.00;30115081.15;1575174.00;20978344.46;3047456.00;44523332.16;;;LREN3;;;;;;;;1973-07-24;;;;
CLASSES FIIM;10.406.511/0001-61;ISHARES IBOVESPA CLASSE DE ÍNDICE - RESPONSABILIDADE LIMITADA;2025-04-30;897435;9498172265.94;AÇÕES;Ação ordinária;N;Para negociação;2741950.00;94453975.02;1883196.00;65038353.32;3460858.00;127394182.98;;;EQTL3;;;;;;;;2006-04-03;;;;
CLASSES FIIM;10.406.511/0001-61;ISHARES IBOVESPA CLASSE DE ÍNDICE - RESPONSABILIDADE LIMITADA;2025-04-30;897435;9498172265.94;AÇÕES;Ação ordinária;N;Para negociação;1701575.00;58507330.32;1168806.00;40118162.86;2155125.00;72649263.75;;;PRIO3;;;;;;;;2015-06-26;;;;
CLASSES FIIM;10.406.511/0001-61;ISHARES IBOVESPA CLASSE DE ÍNDICE - RESPONSABILIDADE LIMITADA;2025-04-30;897435;9498172265.94;AÇÕES;Ação ordinária;N;Para negociação;3238575.00;37435738.17;2224566.00;25673993.16;5041943.00;61662962.89;;;BBDC3;;;;;;;;1973-12-06;;;;
CLASSES FIIM;10.406.511/0001-61;ISHARES IBOVESPA CLASSE DE ÍNDICE - RESPONSABILIDADE LIMITADA;2025-04-30;897435;9498172265.94;AÇÕES;Ação ordinária;N;Para negociação;1054150.00;5300920.50;724092.00;3445500.18;1133113.00;5574915.96;;;VAMO3;;;;;;;;2021-01-29;;;;
CLASSES FIIM;10.406.511/0001-61;ISHARES IBOVESPA CLASSE DE ÍNDICE - RESPONSABILIDADE LIMITADA;2025-04-30;897435;9498172265.94;AÇÕES;Ação ordinária;S;Para negociação;296740.00;8346013.46;203864.00;5652449.71;387287.00;12331218.08;;;AZZA3;;;;;;;;2024-08-01;;;;
CLASSES FIIM;10.406.511/0001-61;ISHARES IBOVESPA CLASSE DE ÍNDICE - RESPONSABILIDADE LIMITADA;2025-04-30;897435;9498172265.94;AÇÕES;Ação ordinária;N;Para negociação;278400.00;5498856.96;191232.00;3743988.48;368097.00;7181572.47;;;SMTO3;;;;;;;;2007-02-12;;;;
CLASSES FIIM;10.406.511/0001-61;ISHARES IBOVESPA CLASSE DE ÍNDICE - RESPONSABILIDADE LIMITADA;2025-04-30;897435;9498172265.94;AÇÕES;Ação ordinária;N;Para negociação;4921300.00;164325125.84;3380424.00;117224144.16;6632610.00;212575150.50;;;PETR3;;;;;;;;1973-09-18;;;;
CLASSES FIIM;10.406.511/0001-61;ISHARES IBOVESPA CLASSE DE ÍNDICE - RESPONSABILIDADE LIMITADA;2025-04-30;897435;9498172265.94;AÇÕES;Ação ordinária;N;Para negociação;1556578.00;44188479.28;907641.00;30207225.38;1576081.00;43799290.99;;;VIVT3;;;;;;;;2011-10-06;;;;
CLASSES FIIM;10.406.511/0001-61;ISHARES IBOVESPA CLASSE DE ÍNDICE - RESPONSABILIDADE LIMITADA;2025-04-30;897435;9498172265.94;AÇÕES;Ação ordinária;N;Para negociação;1490868.00;164589901.89;1024070.00;111275120.86;2311555.00;263262998.95;;;SBSP3;;;;;;;;1997-03-11;;;;
CLASSES FIIM;10.406.511/0001-61;ISHARES IBOVESPA CLASSE DE ÍNDICE - RESPONSABILIDADE LIMITADA;2025-04-30;897435;9498172265.94;AÇÕES;Ação ordinária;N;Para negociação;4073775.00;9903431.31;2798262.00;6524838.99;4002421.00;10326246.18;;;COGN3;;;;;;;;2019-10-11;;;;
CLASSES FIIM;10.406.511/0001-61;ISHARES IBOVESPA CLASSE DE ÍNDICE - RESPONSABILIDADE LIMITADA;2025-04-30;897435;9498172265.94;AÇÕES;Ação ordinária;N;Para negociação;178350.00;8266647.96;122508.00;5818761.00;263152.00;12586560.16;;;IRBR3;;;;;;;;2017-07-31;;;;
CLASSES FIIM;10.406.511/0001-61;ISHARES IBOVESPA CLASSE DE ÍNDICE - RESPONSABILIDADE LIMITADA;2025-04-30;897435;9498172265.94;AÇÕES;Ação ordinária;N;Para negociação;607550.00;8634592.78;417324.00;5690740.68;854914.00;12216721.06;;;YDUQ3;;;;;;;;2019-07-23;;;;
CLASSES FIIM;10.406.511/0001-61;ISHARES IBOVESPA CLASSE DE ÍNDICE - RESPONSABILIDADE LIMITADA;2025-04-30;897435;9498172265.94;AÇÕES;Ação ordinária;N;Para negociação;1376050.00;71265743.38;945204.00;48321713.44;2212775.00;110815772.00;;;SUZB3;;;;;;;;2004-08-05;;;;
CLASSES FIIM;10.406.511/0001-61;ISHARES IBOVESPA CLASSE DE ÍNDICE - RESPONSABILIDADE LIMITADA;2025-04-30;897435;9498172265.94;AÇÕES;Ação ordinária;N;Para negociação;2811343.00;57388938.10;1927940.00;38670229.37;2125894.00;42177736.96;;;RADL3;;;;;;;;2011-12-19;;;;
CLASSES FIIM;10.406.511/0001-61;ISHARES IBOVESPA CLASSE DE ÍNDICE - RESPONSABILIDADE LIMITADA;2025-04-30;897435;9498172265.94;AÇÕES;Ação ordinária;N;Para negociação;1776975.00;38022730.65;1220598.00;25633097.22;2149599.00;48795897.30;;;BRFS3;;;;;;;;2009-12-10;;;;
CLASSES FIIM;10.406.511/0001-61;ISHARES IBOVESPA CLASSE DE ÍNDICE - RESPONSABILIDADE LIMITADA;2025-04-30;897435;9498172265.94;AÇÕES;Ação ordinária;N;Para negociação;2510675.00;18495121.14;1724574.00;12711634.10;3793583.00;29476139.91;;;CSAN3;;;;;;;;2005-11-18;;;;
CLASSES FIIM;10.406.511/0001-61;ISHARES IBOVESPA CLASSE DE ÍNDICE - RESPONSABILIDADE LIMITADA;2025-04-30;897435;9498172265.94;AÇÕES;Ação ordinária;N;Para negociação;637275.00;2662394.31;437742.00;1862337.30;479777.00;2230963.05;;;PETZ3;;;;;;;;2020-09-11;;;;
CLASSES FIIM;10.406.511/0001-61;ISHARES IBOVESPA CLASSE DE ÍNDICE - RESPONSABILIDADE LIMITADA;2025-04-30;897435;9498172265.94;AÇÕES;Ação ordinária;N;Para negociação;1856000.00;17655577.60;1274880.00;12034944.00;1933626.00;18388783.26;;;NTCO3;;;;;;;;2019-12-18;;;;
CLASSES FIIM;10.406.511/0001-61;ISHARES IBOVESPA CLASSE DE ÍNDICE - RESPONSABILIDADE LIMITADA;2025-04-30;897435;9498172265.94;AÇÕES;Ação ordinária;N;Para negociação;2712225.00;127050757.11;1863018.00;85864180.20;4500624.00;200907855.36;;;WEGE3;;;;;;;;2004-08-02;;;;
CLASSES FIIM;10.406.511/0001-61;ISHARES IBOVESPA CLASSE DE ÍNDICE - RESPONSABILIDADE LIMITADA;2025-04-30;897435;9498172265.94;AÇÕES;Ação ordinária;N;Para negociação;1390093.00;56999292.55;954848.00;39337024.73;2184164.00;93416694.28;;;BBSE3;;;;;;;;2013-04-29;;;;
CLASSES FIIM;10.406.511/0001-61;ISHARES IBOVESPA CLASSE DE ÍNDICE - RESPONSABILIDADE LIMITADA;2025-04-30;897435;9498172265.94;AÇÕES;Ação ordinária;N;Para negociação;658403.00;13735863.21;452366.00;9156559.84;473420.00;10169061.60;;;MRFG3;;;;;;;;2007-06-28;;;;
CLASSES FIIM;10.406.511/0001-61;ISHARES IBOVESPA CLASSE DE ÍNDICE - RESPONSABILIDADE LIMITADA;2025-04-30;897435;9498172265.94;AÇÕES;Ação ordinária;S;Para negociação;772125.00;7937349.15;530370.00;5408421.45;721658.00;6725852.56;;;MGLU3;;;;;;;;2011-05-02;;;;
CLASSES FIIM;10.406.511/0001-61;ISHARES IBOVESPA CLASSE DE ÍNDICE - RESPONSABILIDADE LIMITADA;2025-04-30;897435;9498172265.94;AÇÕES;Ação ordinária;N;Para negociação;398025.00;16364751.21;273402.00;11321132.13;609411.00;26807989.89;;;PSSA3;;;;;;;;2004-11-22;;;;
CLASSES FIIM;10.406.511/0001-61;ISHARES IBOVESPA CLASSE DE ÍNDICE - RESPONSABILIDADE LIMITADA;2025-04-30;897435;9498172265.94;AÇÕES;Ação ordinária;N;Para negociação;600300.00;8384178.96;412344.00;5705598.96;807678.00;10370585.52;;;RECV3;;;;;;;;2021-05-05;;;;
CLASSES FIIM;10.406.511/0001-61;ISHARES IBOVESPA CLASSE DE ÍNDICE - RESPONSABILIDADE LIMITADA;2025-04-30;897435;9498172265.94;AÇÕES;Ação ordinária;N;Para negociação;6201650.00;172358309.76;4259892.00;119723067.10;9016376.00;260843757.68;;;BBAS3;;;;;;;;1973-05-31;;;;
CLASSES FIIM;10.406.511/0001-61;ISHARES IBOVESPA CLASSE DE ÍNDICE - RESPONSABILIDADE LIMITADA;2025-04-30;897435;9498172265.94;AÇÕES;Ação ordinária;N;Para negociação;2233000.00;41054398.00;1533840.00;27979397.60;3239596.00;60904404.80;;;VBBR3;;;;;;;;2021-10-22;;;;
CLASSES FIIM;10.406.511/0001-61;ISHARES IBOVESPA CLASSE DE ÍNDICE - RESPONSABILIDADE LIMITADA;2025-04-30;897435;9498172265.94;AÇÕES;Ação ordinária;N;Para negociação;1587025.00;14162238.97;1090122.00;9594321.33;2394417.00;22268078.10;;;CSNA3;;;;;;;;1993-08-02;;;;
CLASSES FIIM;10.406.511/0001-61;ISHARES IBOVESPA CLASSE DE ÍNDICE - RESPONSABILIDADE LIMITADA;2025-04-30;897435;9498172265.94;AÇÕES;Ação ordinária;N;Para negociação;824325.00;4682188.74;566226.00;3074743.62;682858.00;4042519.36;;;MRVE3;;;;;;;;2007-07-23;;;;
CLASSES FIIM;10.406.511/0001-61;ISHARES IBOVESPA CLASSE DE ÍNDICE - RESPONSABILIDADE LIMITADA;2025-04-30;897435;9498172265.94;AÇÕES;Ação ordinária;S;Para negociação;1004850.00;18553675.14;690228.00;12619876.50;827346.00;14362726.56;;;BRAV3;;;;;;;;2024-09-09;;;;
CLASSES FIIM;10.406.511/0001-61;ISHARES IBOVESPA CLASSE DE ÍNDICE - RESPONSABILIDADE LIMITADA;2025-04-30;897435;9498172265.94;AÇÕES;Ação ordinária;N;Para negociação;1306450.00;20788863.10;1306186.00;20278593.92;2260892.00;36988193.12;;;CXSE3;;;;;;;;2021-04-29;;;;
CLASSES FIIM;10.406.511/0001-61;ISHARES IBOVESPA CLASSE DE ÍNDICE - RESPONSABILIDADE LIMITADA;2025-04-30;897435;9498172265.94;AÇÕES;Ação ordinária;N;Para negociação;10427675.00;23563525.07;7162734.00;16024387.96;16945199.00;39312861.68;;;HAPV3;;;;;;;;2018-04-25;;;;
CLASSES FIIM;10.406.511/0001-61;ISHARES IBOVESPA CLASSE DE ÍNDICE - RESPONSABILIDADE LIMITADA;2025-04-30;897435;9498172265.94;AÇÕES;Ação ordinária;N;Para negociação;9588125.00;134332805.25;6586050.00;92174150.25;6915661.00;100761180.77;;;ABEV3;;;;;;;;2013-11-11;;;;
CLASSES FIIM;10.406.511/0001-61;ISHARES IBOVESPA CLASSE DE ÍNDICE - RESPONSABILIDADE LIMITADA;2025-04-30;897435;9498172265.94;AÇÕES;Ação preferencial;S;Para negociação;863475.00;19517262.39;593118.00;13482227.19;1026617.00;24628541.83;;;ISAE4;;;;;;;;2024-11-18;;;;
CLASSES FIIM;10.406.511/0001-61;ISHARES IBOVESPA CLASSE DE ÍNDICE - RESPONSABILIDADE LIMITADA;2025-04-30;897435;9498172265.94;AÇÕES;Ação preferencial;N;Para negociação;12604125.00;127653187.20;8657730.00;86362421.40;15746710.00;168489797.00;;;ITSA4;;;;;;;;1973-09-17;;;;
CLASSES FIIM;10.406.511/0001-61;ISHARES IBOVESPA CLASSE DE ÍNDICE - RESPONSABILIDADE LIMITADA;2025-04-30;897435;9498172265.94;AÇÕES;Ação preferencial;N;Para negociação;718475.00;2011284.05;493518.00;1299894.70;535796.00;787620.12;;;AZUL4;;;;;;;;2017-04-11;;;;
CLASSES FIIM;10.406.511/0001-61;ISHARES IBOVESPA CLASSE DE ÍNDICE - RESPONSABILIDADE LIMITADA;2025-04-30;897435;9498172265.94;AÇÕES;Ação preferencial;N;Para negociação;577100.00;6200633.04;396408.00;4102504.40;622696.00;6644166.32;;;BRKM5;;;;;;;;2002-09-02;;;;
CLASSES FIIM;10.406.511/0001-61;ISHARES IBOVESPA CLASSE DE ÍNDICE - RESPONSABILIDADE LIMITADA;2025-04-30;897435;9498172265.94;AÇÕES;Ação preferencial;N;Para negociação;11502850.00;384050650.74;7901268.00;261188947.88;11546639.00;410829415.62;;;ITUB4;;;;;;;;2009-05-20;;;;
CLASSES FIIM;10.406.511/0001-61;ISHARES IBOVESPA CLASSE DE ÍNDICE - RESPONSABILIDADE LIMITADA;2025-04-30;897435;9498172265.94;AÇÕES;Ação preferencial;N;Para negociação;2608550.00;4637750.04;1791804.00;3176422.34;2042784.00;3697439.04;;;RAIZ4;;;;;;;;2021-08-05;;;;
CLASSES FIIM;10.406.511/0001-61;ISHARES IBOVESPA CLASSE DE ÍNDICE - RESPONSABILIDADE LIMITADA;2025-04-30;897435;9498172265.94;AÇÕES;Ação preferencial;N;Para negociação;9667509.00;301225243.65;6640524.00;213557966.72;18181594.00;545266004.06;;;PETR4;;;;;;;;1973-09-18;;;;
CLASSES FIIM;10.406.511/0001-61;ISHARES IBOVESPA CLASSE DE ÍNDICE - RESPONSABILIDADE LIMITADA;2025-04-30;897435;9498172265.94;AÇÕES;Ação preferencial;N;Para negociação;3663425.00;40730666.57;2516394.00;27635160.18;5327483.00;61425878.99;;;CPLE6;;;;;;;;1996-11-14;;;;
CLASSES FIIM;10.406.511/0001-61;ISHARES IBOVESPA CLASSE DE ÍNDICE - RESPONSABILIDADE LIMITADA;2025-04-30;897435;9498172265.94;AÇÕES;Ação preferencial;N;Para negociação;1120850.00;6388814.08;769908.00;4275756.74;1544904.00;8543319.12;;;USIM5;;;;;;;;1999-02-02;;;;
CLASSES FIIM;10.406.511/0001-61;ISHARES IBOVESPA CLASSE DE ÍNDICE - RESPONSABILIDADE LIMITADA;2025-04-30;897435;9498172265.94;AÇÕES;Ação preferencial;N;Para negociação;547478.00;9412549.21;376172.00;6294047.18;676254.00;10948552.26;;;BRAP4;;;;;;;;2000-08-10;;;;
CLASSES FIIM;10.406.511/0001-61;ISHARES IBOVESPA CLASSE DE ÍNDICE - RESPONSABILIDADE LIMITADA;2025-04-30;897435;9498172265.94;AÇÕES;Ação preferencial;N;Para negociação;1415925.00;11932595.64;972594.00;8208419.94;1945831.00;16364438.71;;;GOAU4;;;;;;;;1973-08-27;;;;
CLASSES FIIM;10.406.511/0001-61;ISHARES IBOVESPA CLASSE DE ÍNDICE - RESPONSABILIDADE LIMITADA;2025-04-30;897435;9498172265.94;AÇÕES;Ação preferencial;N;Para negociação;2710775.00;41026214.89;1862022.00;28296452.88;2156353.00;32323731.47;;;GGBR4;;;;;;;;2001-02-01;;;;
CLASSES FIIM;10.406.511/0001-61;ISHARES IBOVESPA CLASSE DE ÍNDICE - RESPONSABILIDADE LIMITADA;2025-04-30;897435;9498172265.94;AÇÕES;Ação preferencial;N;Para negociação;11192550.00;144899369.82;7688124.00;99410222.16;20636327.00;283336769.71;;;BBDC4;;;;;;;;1973-12-06;;;;
CLASSES FIIM;10.406.511/0001-61;ISHARES IBOVESPA CLASSE DE ÍNDICE - RESPONSABILIDADE LIMITADA;2025-04-30;897435;9498172265.94;AÇÕES;Ação preferencial;N;Para negociação;4054925.00;42235371.71;2785314.00;28968551.99;5231956.00;57289918.20;;;CMIG4;;;;;;;;1973-08-20;;;;
